"""253674_at""","""At4g29540"""
"""246390_at""","""At1g77330"""
"""264372_at""","""At1g11840"""
"""256552_at""","""At3g31350"""
"""252884_at""","""At4g39170"""
"""265743_s_at""","""At2g06730"""
"""248954_at""","""At5g45420"""
"""254327_at""","""At4g22490"""
"""263729_at""","""At1g60080"""
"""251602_at""","""At3g57785"""
"""245780_at""","""At1g45688"""
"""253639_at""","""At4g30550"""
"""256209_at""","""At1g50940"""
"""256268_at""","""At3g12280"""
"""264349_at""","""At1g11930"""
"""257650_at""","""At3g16800"""
"""257616_at""","""At3g26540"""
"""253603_at""","""At4g30935"""
"""255045_at""","""At4g09690"""
"""257512_at""","""At1g35250"""
"""264050_at""","""At2g22350"""
"""265360_s_at""","""At2g13250"""
"""253965_at""","""At4g26490"""
"""259795_at""","""At1g64290"""
"""261110_at""","""At1g75440"""
"""248705_at""","""At5g48520"""
"""248905_at""","""At5g46250"""
"""253829_at""","""At4g28040"""
"""265390_at""","""At2g20820"""
"""259371_at""","""At1g69080"""
"""261662_at""","""At1g18350"""
"""263319_at""","""At2g47160"""
"""267632_at""","""At2g42160"""
"""250985_at""","""At5g02830"""
"""262681_at""","""At1g75890"""
"""266236_at""","""At2g02380"""
"""249073_at""","""At5g44020"""
"""247423_at""","""At5g62830"""
"""264038_at""","""At2g03690"""
"""261480_at""","""At1g14280"""
"""263168_at""","""At1g03020"""
"""245850_at""","""At5g13530"""
"""248157_at""","""At5g54420"""
"""259804_at""","""At1g72160"""
"""249604_x_at""","""At5g37230"""
"""264100_at""","""At1g78970"""
"""266114_at""","""At2g02150"""
"""257195_at""","""At3g23680"""
"""244964_at""","""psbE"""
"""258257_at""","""At3g26770"""
"""259411_at""","""At1g13410"""
"""260187_at""","""At1g36000"""
"""264917_at""","""At1g60500"""
"""248319_at""","""At5g52710"""
"""256977_at""","""At3g21040"""
"""260143_at""","""At1g71880"""
"""253214_at""","""At4g34940"""
"""249910_at""","""At5g22630"""
"""266993_at""","""At2g39210"""
"""253039_at""","""At4g37760"""
"""266133_at""","""At2g45120"""
"""249698_at""","""At5g35520"""
"""248199_at""","""At5g54170"""
"""260102_at""","""At1g35470"""
"""254792_at""","""At4g12920"""
"""255407_at""","""At4g03480"""
"""250665_at""","""At5g06980"""
"""265492_at""","""At2g15660"""
"""250813_at""","""At5g05000"""
"""258647_at""","""At3g07870"""
"""251158_at""","""At3g63150"""
"""249950_at""","""At5g18910"""
"""267251_at""","""At2g23070"""
"""257464_at""","""At1g20940"""
"""252102_at""","""At3g50970"""
"""255816_at""","""At2g33470"""
"""261992_at""","""At1g33690"""
"""262371_at""","""At1g73160"""
"""262216_at""","""At1g74780"""
